class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Rust,126.01920419821974,130.00234489172314,98.59734422744786,0.020546034276604223,0.07179354324432044,0.023701341836056863,0.10056596253487445,0.3017550152783313,10.009266640095655,125.23959346353129,53.740321910686106,412735.0
Rust,134.0313646449704,126.87064595660749,100.10638683431952,0.010617603550295857,0.03714990138067061,0.017898175542406313,0.11042529585798816,0.3138128698224852,4.598298816568048,125.95886094674556,49.02931731118014,406143.0
Rust,122.96499168544148,123.47073945928548,93.74527411221972,0.015360476343739942,0.05495923184207703,0.019696116296534706,0.11299216822229374,0.3219718914279584,8.532145156099132,119.94253567213818,54.9376801114425,370301.5
Rust,133.75171104536489,126.23551775147928,95.26089373767257,0.013345660749506903,0.06403229783037476,0.017267011834319525,0.10058431952662722,0.29689472386587773,5.945913461538462,124.95082223865877,49.83453928411714,483428.0
Rust,122.14348742603549,118.63813732741616,88.99038214990138,0.013492357001972386,0.0672103057199211,0.014836045364891519,0.09218934911242603,0.26955744575936885,4.811427514792899,116.31102810650887,54.619452739227796,451527.0
Rust,123.42000503805055,112.72435101954234,80.53915758491767,0.008837801288680296,0.046839286187786704,0.014436666401506112,0.10647654654893537,0.2863137379683398,3.1735542120754117,112.25967703444435,54.31408827219581,278441.0
Rust,118.17347633136094,105.9379548816568,88.80354536489152,0.031045364891518736,0.0576146449704142,0.041745562130177515,0.11839620315581854,0.27314842209072976,24.940772928994082,107.64371178500986,50.53744933010244,255059.0
Rust,133.9875712625976,125.87219205101187,101.86793655940126,0.013525708573126908,0.054809380994839375,0.021078868444516494,0.11181675718029775,0.29439896247061687,6.62389559860582,125.5602334441112,46.06609098788599,390427.0
Rust,118.40777527969594,109.13026872223114,86.16170574380386,0.011566564959049301,0.057993415770033724,0.016745623895937048,0.10525801616615812,0.3076093356886676,6.28354343985868,109.30154836464857,52.79843484601645,280243.0
Rust,121.45919501972386,118.9718897928994,89.64947238658776,0.012972140039447732,0.04595660749506903,0.011767751479289941,0.09931829388560158,0.29947361932938854,3.2799186390532546,116.38141395463511,41.896158706634914,321720.5
Yellow,112.56750858168202,121.29857232017477,77.86813855515682,0.01820681853643314,0.041447573724449994,0.02782415353409268,0.1144445311281011,0.2767319394601342,21.71568302387268,113.73707871742862,52.740685203681494,191170.0
Yellow,128.05508269620847,136.25690630363553,89.40903807146202,0.026174130129505382,0.05149009205804338,0.028822749258854734,0.09377437977843657,0.25990404119207366,24.966346153846153,128.4591492432517,45.693989473615254,267244.5
Yellow,179.90571266968328,161.30444102044,108.59375097519114,0.00799266656264628,0.04427952878764238,0.017336948041816198,0.10060851926977687,0.2925709939148073,5.2206564986737405,160.86985684194102,32.9154189231958,451023.5
Yellow,137.4930234826026,138.58583242315495,84.30654548291466,0.0052816352004992975,0.03394835387735996,0.012143080043688564,0.09660828522390388,0.3069063036355126,4.784980106100796,132.07119675456389,45.39227414981483,357272.5
Yellow,132.705866749883,126.37324465595258,59.629201123420195,0.0018840692775784053,0.01635395537525355,0.0044254173818068345,0.07919137150881572,0.14757177406771727,0.4869031830238727,120.66216258386643,35.997630726430586,181850.5
Yellow,134.3429064596661,127.40683608987362,103.54589834607584,0.010346777968481822,0.04216336401934779,0.01730184116086753,0.10444882196910595,0.3954029489779997,6.5440981432360745,126.77173115930722,53.69470063834136,334302.0
Yellow,143.15489545951007,129.11663286004057,98.2722928694024,0.006867295990014043,0.03501131221719457,0.01353370260571072,0.10230145108441255,0.3263886721797472,4.880968169761273,129.79495826181932,49.77331209659333,309311.0
Yellow,112.56750858168202,121.29857232017477,77.86813855515682,0.01820681853643314,0.041447573724449994,0.02782415353409268,0.1144445311281011,0.2767319394601342,21.71568302387268,113.73707871742862,52.740685203681494,191170.0
Yellow,151.32517553440476,156.1186924637229,87.15649282259324,0.007546029021688251,0.04942268684662194,0.013849664534248712,0.08242120455609299,0.19900140427523794,1.1558355437665782,146.81636175690434,31.75582344689945,428139.0
Yellow,127.14148658136996,123.16775237946639,105.28112420034327,0.005324543610547667,0.032612342019035734,0.011971446403495085,0.10155835543766578,0.31862224996099237,2.438992042440318,122.32335387735996,64.84122267013596,277185.0
