class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Healthy,126.79883757216416,146.022963800905,117.06850717740679,0.008158449056014979,0.0659053674520206,0.009829926665626463,0.06699368076142924,0.23205453268840692,1.7879641909814323,136.95575947885786,33.96423916180231,338571.0
Healthy,132.72366203775942,154.7145303479482,119.58051178030895,0.008310578873459198,0.06462006553284444,0.008070681853643314,0.06777968481822437,0.20592721173349976,2.444462864721485,144.11118739272897,28.382458043939735,417671.0
Healthy,130.1538832111094,150.77530230925262,110.17211343423313,0.01270869090341707,0.06343033234513965,0.012078717428616008,0.08200187236698393,0.2527383367139959,5.043103448275862,139.95605203619908,36.203546825944855,367133.5
Healthy,130.72252496489313,146.77515017943517,117.66121664846311,0.012106022780464971,0.08069121547823373,0.013715088157278827,0.08052348260259011,0.24317951318458417,2.422082228116711,138.6524672335778,33.134942128806685,369286.0
Healthy,130.44127594008427,152.2525511000156,113.33381182711813,0.019938757996567327,0.09497776564206585,0.011031362146980809,0.0773131533780621,0.2827761741301295,6.032327586206897,141.28590068653457,32.287831756993505,362187.0
Healthy,133.3107583086285,153.56814245592136,123.44084685598378,0.004480028085504759,0.03472265564050554,0.007120845685754408,0.08681346543922609,0.2766344203463879,2.1490384615384617,144.06911569667656,36.60624795188695,399059.0
Healthy,120.9179688718989,126.29986542362305,96.10392806990171,0.014583008269620846,0.08638828210329225,0.013473240755188017,0.09224528007489467,0.2609709002964581,11.461372679045093,121.24654782337338,50.09946200089374,190179.5
Healthy,141.58870923701048,153.07491808394445,133.60485840224686,0.009482758620689655,0.05333515369012327,0.017890856607895148,0.09681697612732096,0.2885337026057107,2.3992042440318304,147.40180800436886,29.007641012261438,403817.5
Healthy,130.23171126540802,153.95969535028868,111.82482251521299,0.016375409580277736,0.06851887970042128,0.013738492744577937,0.08488063660477453,0.29363785301919176,5.2708885941644565,142.03556522078327,32.210718221815355,411771.5
Healthy,111.24451552504291,133.48762872523017,76.38421360586676,0.0223026213137775,0.060955297238258696,0.017703619909502262,0.09535418942112654,0.3016110157590888,11.023209549071618,120.31075245748167,44.846398778341864,217200.5
Healthy,120.94401037603372,134.166430020284,105.18190630363551,0.004255734123888282,0.030357700109221408,0.008012170385395537,0.09458768918708067,0.2670112342019036,1.899370026525199,126.8940181775628,48.1524289819581,218545.5
Healthy,125.08198821969107,150.04504017787488,109.38936651583711,0.018403807146200657,0.07215049149633328,0.015911218598845374,0.09764003744733968,0.255525432984865,5.324602122015915,137.94098728350758,35.66046956047214,358656.5
Healthy,132.98233343735373,150.9463547355282,88.10118778280544,0.0038734591980028087,0.030018333593384305,0.007514822905289437,0.08228077703229833,0.22009283819628647,1.534814323607427,138.403639413325,56.5673072513285,270977.0
Healthy,128.26006202215635,142.69574426587613,107.41784599781558,0.02060578873459198,0.05207715712279607,0.013297706350444687,0.09336870026525199,0.33111249804961773,9.466511936339522,134.34147682945857,43.61150319605095,295769.0
Healthy,121.32178186924638,143.56209237010455,115.17375955687315,0.010374083320330785,0.05058316430020284,0.009666094554532689,0.0877340458729911,0.24850600717740678,2.4827586206896552,133.6591882508972,32.428167710118245,324373.0
Healthy,122.53646239662974,147.2681639101264,121.21465712279608,0.019964112966141364,0.08657941956623498,0.013167030738024653,0.07489077859260415,0.24147487907629894,5.581730769230769,136.90245163051958,30.255620999091818,334031.0
Healthy,108.54150023404588,130.7427114214386,104.76738570759869,0.014387970042128257,0.05799656732719613,0.015491886409736309,0.09424442190669371,0.2562997347480106,7.277188328912467,121.13639218286784,34.25271095135799,169814.5
Healthy,134.82652714932127,157.58486893431115,106.75385785613982,0.01085972850678733,0.0506182711811515,0.010649087221095335,0.09449602122015915,0.27491223279762833,2.4345159151193636,144.95966414417225,31.02431232512416,446313.5
Healthy,121.48998088625372,154.34507333437355,88.5635278514589,0.008687002652519893,0.05483499765954127,0.010810968949914183,0.08448080823841472,0.23648190045248868,2.0142572944297084,137.0066410516461,27.09945436201095,355553.5
Healthy,118.22424520205962,135.68238609767516,112.2937080667811,0.010364331408956155,0.06860859728506788,0.01401739740989234,0.08969418005929163,0.310079575596817,4.234913793103448,127.77762521454206,38.74352274788475,212491.0
Healthy,124.73006709315027,157.53027188328915,97.57148541114059,0.001960134186300515,0.014936027461382432,0.005037837416133562,0.07981354345451709,0.18626150725542207,1.3582559681697612,140.87803869558434,27.465366690500566,388931.0
Healthy,122.38767553440475,147.2662661881729,123.73703775940085,0.012260102980184116,0.09167186768606647,0.012386877828054298,0.06685325323763458,0.24279918864097363,4.325928381962865,137.1340010141988,30.409448366739852,356556.5
Healthy,120.60798876579811,147.11577274145733,106.66580979872056,0.007990716180371353,0.05064557653300047,0.014653222031518177,0.09803206428459978,0.26092019035731,2.882128647214854,134.5864409424247,33.09951021288612,266577.0
Healthy,126.85300943985023,147.03181853643315,121.41073880480575,0.020935403339054456,0.09737868622249961,0.012767202371664847,0.06679084100483695,0.28491769386799815,9.259118037135279,138.0627496489312,30.461695511288003,320680.0
Healthy,120.48455687314714,132.83309603682324,94.12318224371978,0.013389374317366204,0.06085972850678733,0.010218052738336715,0.07676704634108285,0.3201708534872835,9.430702917771884,124.72290528943672,48.61866705935825,259872.0
Healthy,116.6727999687939,136.2718891402715,115.56083047277268,0.01588001248244656,0.09825830862849118,0.01333866437821813,0.07703619909502263,0.2506826337962241,4.100132625994695,128.04180644406304,37.77130352665023,237898.5
Healthy,162.40899711343425,179.21115228584804,105.57188523950695,0.006132001872366984,0.03944648151037603,0.008739662973942892,0.08564323607427056,0.24933296926197535,1.859582228116711,165.78884381338742,34.56505681988495,432066.0
Healthy,127.35203229833049,148.12322905289437,122.38143236074272,0.015743485723201747,0.0882606490872211,0.01201630519581838,0.07382782025276954,0.22224801061007957,4.73474801061008,138.9748595724762,31.860926259804845,411210.5
Healthy,111.92422179747231,136.63364019347793,96.35955687314714,0.004821344983616789,0.03741028241535341,0.006812685286316118,0.08610352629115306,0.27898073022312375,1.6462201591511936,124.64973864877516,40.441620496299464,255873.0
Healthy,121.48565493836793,147.97915821501016,102.13586167888907,0.009582228116710875,0.05652597909190201,0.012995397097831174,0.08665743485723201,0.2561651583710407,3.2745358090185674,134.8211343423311,33.41420176044102,269396.5
Healthy,133.2170268372601,159.64525276954285,118.85134186300516,0.003867608051178031,0.03397760961148385,0.006256826337962241,0.07471134342331097,0.17138984240911218,1.0588527851458887,147.0751696832579,30.321103288962405,393974.0
Healthy,122.77223630831644,138.52313738492745,115.99398307068186,0.01649048213449836,0.0886370728662818,0.014651271649243252,0.08152012794507724,0.2524906381650804,4.361737400530504,131.22214854111405,36.22212227987473,227380.0
Healthy,123.4623537213294,141.08978584802622,110.81244733967858,0.008948353877359963,0.062289358714308005,0.012460992354501483,0.07826493992822593,0.2340107661101576,2.7418766578249336,132.3573665938524,32.507001270568246,244665.0
Healthy,81.58295365891715,97.65059486659386,44.64460134186301,0.009486659385239507,0.05311671087533156,0.0127184428147917,0.08906810734904042,0.23316234982056483,6.374502652519894,86.80489740989233,51.45968576900688,116921.0
Healthy,105.40732173506008,134.93700070213762,99.03686222499611,0.008731861444843189,0.05471602434077079,0.012884225308160399,0.09630207520674051,0.25798291465127166,5.198275862068965,122.00590185676393,35.803508319041484,223474.5
Healthy,137.1832774223748,152.58384303323453,111.58022507411454,0.020898346075830864,0.0769289280699017,0.022569823685442348,0.0965341706974567,0.26420658449056017,5.044595490716181,143.308293025433,42.30490222859182,356327.5
Healthy,116.04428928069903,137.32456311437042,106.83079263535654,0.013124122327976284,0.08722889686378531,0.012172335777812451,0.07736386331721018,0.2679844749570916,4.932194960212201,127.47301841160868,35.31700572177141,181743.5
Healthy,122.54716804493683,149.2513457637697,111.81996606334843,0.008517319394601342,0.06925417381806834,0.007922452800748946,0.06812490248088625,0.18983265720081136,2.782161803713528,137.00437470744265,25.83736624419361,336082.5
Healthy,135.33729520986114,157.49577352161026,121.02705570291778,0.009781167108753316,0.05351263847714152,0.01069394601341863,0.0852395069433609,0.2403397565922921,1.331399204244032,146.70628023092527,25.190009282921952,407898.0
Healthy,122.75579068497427,147.48476556405058,125.1845451708535,0.01087923232953659,0.08270400998595724,0.00911998751755344,0.0665606958963957,0.20590185676392572,4.061339522546419,137.54359689499142,34.53659179932514,333231.0
Healthy,122.95624122327978,155.23800319862696,105.39809252613513,0.005464971134342331,0.03535848026213138,0.010118583242315494,0.09835972850678733,0.23301217038539554,1.5920092838196287,139.88337104072397,26.177899063946956,429237.0
Healthy,116.80244968013731,141.6279041192074,116.98203892963022,0.00537525354969574,0.039645420502418476,0.011275159931346543,0.09105359650491496,0.223342175066313,2.199767904509284,131.37343384303324,36.29291463737236,191401.0
Healthy,123.21653924169138,151.16858324231552,112.93969222967702,0.008220861288812607,0.06666406615696677,0.008433452956779528,0.06324894679357154,0.18287174286160088,3.9016909814323606,138.4352278046497,28.496374142678466,359355.0
Healthy,128.20490521142145,142.41261312217196,95.37472109533469,0.02699134030269933,0.08345685754407864,0.020291777188328912,0.0827976283351537,0.3303323451396474,19.021054376657826,132.79673115930723,40.638606470431576,269911.5
Healthy,82.73814557653301,104.99349352473085,65.80005266032143,0.0038890622562022157,0.039397721953502884,0.006660555468871899,0.07568653456077391,0.19112966141363708,2.356432360742706,93.85872015915119,52.00286850397705,110048.5
Healthy,128.51163207988768,150.97609221407396,113.8363180683414,0.00969339990638165,0.04634693399906382,0.015212981744421906,0.10106100795755968,0.2992178967077547,2.2957559681697615,140.00212786706194,33.02708733704307,406995.5
Healthy,114.16269113746296,135.21665236386332,84.37891051646123,0.019997269464815105,0.08880090497737557,0.014978935871430801,0.07531986269308784,0.2994070837884225,13.877984084880637,123.12616242783585,42.17014614774114,203802.0
